Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,143.36,158.91,45.78,13.55,43.50,37.20,3.74,2.43,23.82,1.32,80.74,6.32,NA,5.40,10.40,3.47,99.13,0.59,60.38,NA,0.00,NA,NA,NA
2021-01-01 01:00:00,140.92,152.64,41.69,11.63,39.51,37.48,3.66,2.47,24.20,1.21,79.85,6.44,NA,5.51,10.61,2.78,99.13,0.61,71.10,NA,0.00,NA,NA,NA
2021-01-01 02:00:00,142.46,145.23,39.93,10.56,37.54,36.46,3.47,2.48,24.22,1.25,79.11,6.43,NA,5.57,10.62,2.04,99.13,0.58,129.78,NA,0.00,NA,NA,NA
2021-01-01 03:00:00,NA,NA,37.66,9.88,35.37,35.30,3.49,2.40,23.82,1.34,78.96,6.23,NA,5.49,10.38,1.33,99.13,0.69,62.96,NA,0.00,NA,NA,NA
2021-01-01 04:00:00,123.76,125.27,35.74,9.30,33.52,34.24,1.98,2.28,24.55,1.28,78.91,5.94,NA,5.36,9.91,0.86,99.13,0.61,116.72,NA,0.00,NA,NA,NA
2021-01-01 05:00:00,123.76,125.27,29.32,9.09,28.26,32.25,1.40,2.22,23.77,1.23,78.46,5.72,NA,5.25,9.55,0.50,99.13,0.68,61.27,NA,0.00,NA,NA,NA
2021-01-01 06:00:00,NA,NA,23.22,8.71,23.16,28.71,1.43,2.14,23.71,1.07,77.42,5.45,NA,5.10,9.16,0.53,99.13,0.66,80.74,NA,0.00,NA,NA,NA
2021-01-01 07:00:00,NA,NA,23.80,8.30,23.42,30.37,1.45,2.12,24.04,0.97,76.40,5.37,NA,5.32,9.10,0.38,99.13,0.64,61.74,NA,0.00,15.20,NA,NA
2021-01-01 08:00:00,NA,NA,23.20,8.21,22.90,29.80,10.54,2.26,24.21,1.02,75.86,5.67,NA,6.13,9.78,2.94,98.02,0.64,69.77,NA,0.00,117.80,NA,NA
2021-01-01 09:00:00,NA,NA,24.06,10.77,24.92,31.22,12.56,2.47,24.20,1.20,76.08,6.31,NA,7.56,11.14,9.40,83.26,0.52,156.76,NA,0.00,268.20,NA,NA
2021-01-01 10:00:00,NA,NA,22.40,18.60,27.68,34.28,12.75,2.61,23.91,1.43,78.50,7.07,NA,9.12,12.67,13.95,64.94,0.93,167.65,NA,0.00,338.75,NA,NA
2021-01-01 11:00:00,NA,NA,17.24,26.45,27.64,35.57,12.63,2.54,24.21,1.63,82.08,7.24,NA,9.33,12.85,15.63,52.68,1.06,145.45,NA,0.00,360.55,NA,NA
2021-01-01 12:00:00,192.79,210.97,12.00,31.65,26.14,33.72,5.28,2.40,23.64,1.56,84.74,7.19,NA,9.24,12.60,17.06,43.83,1.13,136.57,NA,0.00,417.17,NA,NA
2021-01-01 13:00:00,177.65,200.23,7.78,32.90,23.43,34.82,3.41,2.22,23.92,1.58,86.52,6.93,NA,8.75,11.94,17.81,37.84,1.05,139.23,NA,0.00,396.85,NA,NA
2021-01-01 14:00:00,123.19,163.32,4.75,32.20,20.63,33.24,3.09,2.02,23.67,1.54,87.27,6.56,NA,8.08,11.22,17.77,38.26,0.96,145.01,NA,0.00,325.00,NA,NA
2021-01-01 15:00:00,86.58,143.35,3.64,32.51,19.90,32.84,3.18,1.90,23.87,1.66,87.00,6.18,NA,7.40,10.39,17.46,41.56,1.08,152.80,NA,0.00,189.82,NA,NA
2021-01-01 16:00:00,92.87,154.95,2.61,32.11,18.87,32.56,8.70,1.79,23.91,1.70,86.75,6.02,NA,7.14,10.03,15.89,42.33,1.60,108.03,NA,0.00,77.62,NA,NA
2021-01-01 17:00:00,87.00,156.64,1.19,27.68,15.42,31.22,9.54,1.66,23.80,1.62,85.12,5.87,NA,6.93,9.61,13.73,50.65,0.88,82.33,NA,0.00,12.30,NA,NA
2021-01-01 18:00:00,72.21,136.35,1.12,23.15,12.96,27.86,9.42,1.59,24.43,1.65,85.88,5.97,NA,7.01,9.90,10.73,64.45,0.64,42.69,NA,0.00,NA,NA,NA
2021-01-01 19:00:00,61.85,114.09,1.10,19.75,11.20,29.04,9.36,1.44,24.05,1.56,86.82,5.67,NA,6.54,9.49,9.53,69.11,0.72,106.01,NA,0.00,NA,NA,NA
2021-01-01 20:00:00,58.08,99.17,1.47,18.65,10.92,28.92,5.89,1.41,23.95,1.44,87.11,5.34,NA,6.01,8.91,9.15,73.12,0.32,117.45,NA,0.00,NA,NA,NA
2021-01-01 21:00:00,71.56,104.62,3.30,20.07,13.13,29.75,5.30,1.48,23.94,1.40,87.13,5.22,NA,5.66,8.74,8.19,81.99,0.60,118.40,NA,0.00,NA,NA,NA
2021-01-01 22:00:00,81.92,109.02,3.82,20.62,13.84,30.41,5.38,1.54,24.00,1.33,85.72,5.01,NA,5.28,8.45,8.39,85.94,0.43,176.83,NA,0.00,NA,NA,NA
2021-01-01 23:00:00,101.44,127.01,3.43,20.04,13.22,30.29,5.22,1.59,24.00,1.27,84.24,4.93,NA,5.07,8.22,7.98,87.36,0.72,34.29,NA,0.00,NA,NA,NA
2021-01-02 00:00:00,126.04,137.58,2.31,18.86,11.72,27.22,11.29,1.64,23.61,1.19,82.38,4.80,NA,4.84,8.04,8.86,87.74,0.77,37.44,NA,0.00,NA,NA,NA
2021-01-02 01:00:00,NA,NA,2.00,19.18,11.62,29.74,12.83,1.76,24.04,1.04,81.85,4.83,NA,4.87,8.12,8.05,92.76,0.54,105.02,NA,0.00,NA,NA,NA
2021-01-02 02:00:00,NA,NA,2.07,18.20,11.18,30.20,13.14,1.84,24.42,1.10,82.70,4.86,NA,5.02,8.25,7.76,95.24,0.52,80.38,NA,0.00,NA,NA,NA
2021-01-02 03:00:00,NA,NA,7.89,18.30,15.89,31.52,13.36,1.87,23.91,1.12,83.54,4.86,NA,5.11,8.30,8.07,93.74,0.60,191.04,NA,0.00,0.10,NA,NA
2021-01-02 04:00:00,163.28,171.69,9.86,18.88,17.77,32.37,6.61,1.82,24.20,1.10,83.90,4.75,NA,5.05,8.12,8.54,91.68,0.46,166.20,NA,0.00,0.70,NA,NA
