Month,CO (mg/m³),NO2 (µg/m³),Ozone (µg/m³),PM2.5 (µg/m³),PM10 (µg/m³),SO2 (µg/m³)
1,1.25,42.63,18.11,179.48,275.7,7.57
2,1.13,42.72,30.12,120.52,234.8,7.71
3,1.0,31.91,30.38,78.66,168.72,8.56
4,0.95,39.98,37.22,71.45,196.26,8.87
5,1.02,34.27,39.64,68.69,183.54,8.86
6,0.99,24.04,32.7,43.69,135.75,7.25
7,1.09,17.32,26.06,34.24,78.04,6.06
8,0.89,16.53,20.49,35.97,123.27,5.34
9,0.9,20.5,21.88,40.77,114.06,5.13
10,1.17,33.87,23.5,102.36,225.7,6.19
11,1.82,45.75,21.79,248.47,371.85,7.08
12,1.51,44.88,16.61,205.95,317.61,7.38
